"YEAR_WEEK","REGION","PART_RATE_PERCENT","CASES_PER_100","NEW_IN_PER_100","DEATHS_PER_100"
"20W21","Belgium",94,0.27,0.06,0.11
"20W21","Brussels",95,0.76,0.09,0.1
"20W21","Flanders",97,0.19,0.03,0.1
"20W21","German speaking community",100,0,0,0.15
"20W21","Wallonia",91,0.27,0.11,0.12
"20W22","Belgium",96,0.16,0.05,0.06
"20W22","Brussels",93,0.5,0.12,0.06
"20W22","Flanders",96,0.07,0.02,0.07
"20W22","German speaking community",100,0,0,0
"20W22","Wallonia",96,0.23,0.07,0.06
"20W23","Belgium",96,0.06,0.02,0.05
"20W23","Brussels",88,0.07,0.08,0.07
"20W23","Flanders",96,0.04,0.01,0.05
"20W23","German speaking community",100,0,0,0
"20W23","Wallonia",98,0.09,0.04,0.04
"20W24","Belgium",96,0.06,0.01,0.02
"20W24","Brussels",88,0.12,0.08,0.03
"20W24","Flanders",96,0.06,0.01,0.02
"20W24","German speaking community",100,0,0,0
"20W24","Wallonia",99,0.05,0.01,0.02
"20W25","Belgium",95,0.04,0.01,0.02
"20W25","Brussels",80,0.05,0.01,0.02
"20W25","Flanders",95,0.04,0.01,0.02
"20W25","German speaking community",88,0,0,0
"20W25","Wallonia",99,0.04,0.02,0.01
"20W26","Belgium",94,0.03,0.01,0.01
"20W26","Brussels",88,0.05,0.01,0.02
"20W26","Flanders",94,0.01,0.01,0.01
"20W26","German speaking community",100,0,0,0
"20W26","Wallonia",94,0.05,0.01,0.02
"20W27","Belgium",94,0.02,0.01,0.01
"20W27","Brussels",86,0.05,0.02,0.02
"20W27","Flanders",95,0.02,0,0.01
"20W27","German speaking community",88,0,0,0
"20W27","Wallonia",95,0.02,0.01,0.01
"20W28","Belgium",90,0.02,0,0
"20W28","Brussels",76,0.05,0.01,0.02
"20W28","Flanders",94,0.02,0,0
"20W28","German speaking community",100,0,0,0
"20W28","Wallonia",86,0.01,0,0
"20W29","Belgium",88,0.02,0,0.01
"20W29","Brussels",67,0.06,0,0.02
"20W29","Flanders",95,0.02,0,0
"20W29","German speaking community",75,0,0,0
"20W29","Wallonia",84,0.02,0.01,0.01
"20W30","Belgium",88,0.03,0,0
"20W30","Brussels",68,0.04,0,0
"20W30","Flanders",95,0.03,0.01,0
"20W30","German speaking community",100,0,0,0
"20W30","Wallonia",83,0.04,0.01,0.01
"20W31","Belgium",89,0.07,0.01,0.01
"20W31","Brussels",73,0.06,0.01,0.01
"20W31","Flanders",95,0.06,0,0.01
"20W31","German speaking community",100,0,0,0
"20W31","Wallonia",84,0.11,0.02,0.01
"20W32","Belgium",89,0.04,0.01,0.01
"20W32","Brussels",80,0.08,0.04,0.01
"20W32","Flanders",96,0.03,0,0.01
"20W32","German speaking community",75,0,0,0
"20W32","Wallonia",83,0.06,0.01,0.01
"20W33","Belgium",89,0.06,0.02,0.03
"20W33","Brussels",80,0.15,0.1,0.02
"20W33","Flanders",96,0.06,0.01,0.04
"20W33","German speaking community",75,0,0,0
"20W33","Wallonia",83,0.04,0.03,0.03
"20W34","Belgium",92,0.11,0.02,0.02
"20W34","Brussels",78,0.22,0.08,0.03
"20W34","Flanders",95,0.11,0.01,0.02
"20W34","German speaking community",88,0,0,0
"20W34","Wallonia",92,0.09,0.02,0.01
"20W35","Belgium",95,0.03,0,0.01
"20W35","Brussels",80,0.07,0.01,0.02
"20W35","Flanders",97,0.03,0,0.01
"20W35","German speaking community",63,0,0,0
"20W35","Wallonia",96,0.03,0,0
"20W36","Belgium",95,0.03,0.01,0.01
"20W36","Brussels",83,0.04,0,0.01
"20W36","Flanders",95,0.03,0,0.01
"20W36","German speaking community",75,0,0,0
"20W36","Wallonia",97,0.04,0.01,0
"20W37","Belgium",94,0.04,0.01,0
"20W37","Brussels",80,0.1,0,0.01
"20W37","Flanders",95,0.05,0.01,0
"20W37","German speaking community",88,0,0,0
"20W37","Wallonia",95,0.01,0.01,0
"20W38","Belgium",94,0.09,0.01,0.01
"20W38","Brussels",76,0.08,0,0.01
"20W38","Flanders",96,0.08,0.01,0.01
"20W38","German speaking community",88,0,0,0
"20W38","Wallonia",98,0.11,0.03,0
"20W39","Belgium",93,0.12,0.03,0.02
"20W39","Brussels",69,0.67,0.02,0.02
"20W39","Flanders",95,0.07,0.02,0.01
"20W39","German speaking community",88,0,0,0
"20W39","Wallonia",95,0.08,0.05,0.02
"20W40","Belgium",94,0.28,0.02,0.02
"20W40","Brussels",81,0.56,0.07,0.04
"20W40","Flanders",95,0.14,0.01,0.02
"20W40","German speaking community",88,0,0,0.14
"20W40","Wallonia",96,0.45,0.02,0.02
"20W41","Belgium",95,0.34,0.05,0.05
"20W41","Brussels",84,0.98,0.08,0.1
"20W41","Flanders",96,0.22,0.01,0.04
"20W41","German speaking community",75,0,0,0
"20W41","Wallonia",97,0.38,0.1,0.06
"20W42","Belgium",96,0.78,0.1,0.07
"20W42","Brussels",85,0.69,0.08,0.12
"20W42","Flanders",97,0.47,0.05,0.04
"20W42","German speaking community",88,0.16,0,0
"20W42","Wallonia",98,1.33,0.19,0.11
"20W43","Belgium",97,2,0.17,0.16
"20W43","Brussels",90,2.27,0.21,0.19
"20W43","Flanders",97,1.15,0.08,0.1
"20W43","German speaking community",100,1.25,0,0.28
"20W43","Wallonia",98,3.39,0.33,0.24
"20W44","Belgium",97,3.54,0.21,0.34
"20W44","Brussels",93,3.98,0.27,0.38
"20W44","Flanders",97,2.64,0.1,0.24
"20W44","German speaking community",100,1.26,0.14,0.14
"20W44","Wallonia",98,5,0.38,0.48
"20W45","Belgium",97,2.74,0.23,0.53
"20W45","Brussels",93,2.18,0.18,0.57
"20W45","Flanders",97,2.06,0.14,0.44
"20W45","German speaking community",88,1.97,0,0.42
"20W45","Wallonia",98,4.06,0.39,0.69
"20W46","Belgium",97,2.73,0.26,0.54
"20W46","Brussels",92,1.88,0.13,0.6
"20W46","Flanders",98,2.71,0.24,0.45
"20W46","German speaking community",88,1.98,0,0.7
"20W46","Wallonia",98,3,0.34,0.68
"20W47","Belgium",97,2.33,0.22,0.45
"20W47","Brussels",89,1.33,0.11,0.44
"20W47","Flanders",98,2.03,0.2,0.45
"20W47","German speaking community",100,1.98,0.14,0.14
"20W47","Wallonia",97,3.11,0.29,0.45
"20W48","Belgium",97,1.45,0.22,0.38
"20W48","Brussels",90,1.56,0.17,0.34
"20W48","Flanders",98,1.43,0.2,0.42
"20W48","German speaking community",100,3.24,0.14,0.28
"20W48","Wallonia",97,1.43,0.25,0.32
"20W49","Belgium",96,1.5,0.18,0.3
"20W49","Brussels",88,0.98,0.12,0.18
"20W49","Flanders",97,1.58,0.15,0.35
"20W49","German speaking community",100,1.5,0.27,0.28
"20W49","Wallonia",97,1.51,0.24,0.22
"20W50","Belgium",97,1.67,0.18,0.31
"20W50","Brussels",84,1.01,0.04,0.16
"20W50","Flanders",99,1.78,0.18,0.39
"20W50","German speaking community",88,0.88,0,0.14
"20W50","Wallonia",97,1.64,0.22,0.22
"20W51","Belgium",97,1.31,0.17,0.33
"20W51","Brussels",84,0.56,0.07,0.2
"20W51","Flanders",99,1.52,0.15,0.43
"20W51","German speaking community",75,0.87,0,0
"20W51","Wallonia",97,1.12,0.23,0.19
"20W52","Belgium",95,0.94,0.15,0.28
"20W52","Brussels",78,0.86,0.1,0.12
"20W52","Flanders",98,0.93,0.13,0.36
"20W52","German speaking community",75,9.79,0,0.14
"20W52","Wallonia",95,0.85,0.2,0.18
"20W53","Belgium",95,0.64,0.1,0.21
"20W53","Brussels",79,0.13,0.03,0.05
"20W53","Flanders",98,0.69,0.11,0.28
"20W53","German speaking community",63,3.06,0,0.29
"20W53","Wallonia",95,0.65,0.11,0.14
"21W01","Belgium",96,0.79,0.07,0.17
"21W01","Brussels",80,0.1,0.03,0.04
"21W01","Flanders",99,0.92,0.09,0.23
"21W01","German speaking community",78,1.29,0,0.43
"21W01","Wallonia",97,0.72,0.04,0.11
"21W02","Belgium",96,0.62,0.06,0.15
"21W02","Brussels",82,0.08,0.02,0.08
"21W02","Flanders",99,0.62,0.05,0.2
"21W02","German speaking community",67,0.56,0,0.29
"21W02","Wallonia",97,0.76,0.09,0.08
"21W03","Belgium",97,0.61,0.07,0.16
"21W03","Brussels",85,0.49,0.03,0.04
"21W03","Flanders",98,0.73,0.08,0.22
"21W03","German speaking community",78,0,0,0.14
"21W03","Wallonia",97,0.45,0.05,0.08
"21W04","Belgium",97,0.67,0.06,0.11
"21W04","Brussels",82,0.38,0.09,0.02
"21W04","Flanders",99,0.79,0.06,0.14
"21W04","German speaking community",89,0,0,0
"21W04","Wallonia",97,0.55,0.06,0.08
"21W05","Belgium",96,0.54,0.07,0.13
"21W05","Brussels",83,0.46,0.04,0.07
"21W05","Flanders",98,0.55,0.06,0.17
"21W05","German speaking community",89,0.14,0,0
"21W05","Wallonia",97,0.57,0.1,0.07
"21W06","Belgium",95,0.26,0.03,0.12
"21W06","Brussels",78,0.42,0.02,0.09
"21W06","Flanders",98,0.28,0.04,0.15
"21W06","German speaking community",89,0,0,0.14
"21W06","Wallonia",97,0.19,0.03,0.07
"21W07","Belgium",94,0.21,0.03,0.08
"21W07","Brussels",76,0.13,0.02,0.07
"21W07","Flanders",97,0.24,0.03,0.11
"21W07","German speaking community",67,0,0,0
"21W07","Wallonia",95,0.19,0.04,0.05
"21W08","Belgium",95,0.14,0.02,0.03
"21W08","Brussels",77,0.23,0,0.01
"21W08","Flanders",97,0.1,0.02,0.04
"21W08","German speaking community",100,0,0,0
"21W08","Wallonia",97,0.19,0.03,0.01
"21W09","Belgium",95,0.06,0.01,0.02
"21W09","Brussels",76,0.12,0.01,0.01
"21W09","Flanders",97,0.05,0.01,0.03
"21W09","German speaking community",78,0,0,0
"21W09","Wallonia",98,0.05,0.01,0.01
"21W10","Belgium",95,0.05,0.01,0.01
"21W10","Brussels",78,0.12,0.01,0.02
"21W10","Flanders",97,0.04,0,0.02
"21W10","German speaking community",100,0,0,0
"21W10","Wallonia",97,0.05,0.02,0
"21W11","Belgium",94,0.07,0.01,0.02
"21W11","Brussels",78,0.14,0,0.05
"21W11","Flanders",95,0.06,0,0.01
"21W11","German speaking community",89,0,0,0
"21W11","Wallonia",97,0.08,0.01,0.01
"21W12","Belgium",94,0.11,0,0.01
"21W12","Brussels",84,0.21,0.01,0.01
"21W12","Flanders",94,0.05,0.01,0.01
"21W12","German speaking community",100,0,0,0
"21W12","Wallonia",97,0.19,0,0.01
"21W13","Belgium",94,0.09,0.01,0.02
"21W13","Brussels",83,0.03,0,0.04
"21W13","Flanders",95,0.07,0.01,0.02
"21W13","German speaking community",78,0,0,0
"21W13","Wallonia",96,0.15,0.02,0.01
"21W14","Belgium",91,0.06,0.01,0.01
"21W14","Brussels",72,0.03,0.01,0.01
"21W14","Flanders",92,0.06,0.01,0.01
"21W14","German speaking community",89,0.15,0,0
"21W14","Wallonia",95,0.08,0.02,0.02
"21W15","Belgium",91,0.08,0.01,0.01
"21W15","Brussels",72,0.14,0.02,0
"21W15","Flanders",92,0.06,0.01,0.01
"21W15","German speaking community",67,0,0,0
"21W15","Wallonia",94,0.1,0.01,0.02
"21W16","Belgium",92,0.08,0.01,0.01
"21W16","Brussels",76,0.12,0.02,0
"21W16","Flanders",92,0.06,0.01,0.01
"21W16","German speaking community",78,0,0,0.15
"21W16","Wallonia",97,0.12,0.02,0.02
"21W17","Belgium",90,0.09,0.01,0.01
"21W17","Brussels",73,0.05,0.01,0.02
"21W17","Flanders",89,0.03,0,0.01
"21W17","German speaking community",78,0,0,0
"21W17","Wallonia",95,0.18,0.01,0
"21W18","Belgium",90,0.12,0.02,0.02
"21W18","Brussels",73,0.01,0,0.03
"21W18","Flanders",90,0.09,0.01,0.02
"21W18","German speaking community",78,0,0,0
"21W18","Wallonia",95,0.21,0.03,0.02
"21W19","Belgium",88,0.08,0.01,0.01
"21W19","Brussels",66,0.06,0,0.01
"21W19","Flanders",88,0.06,0.01,0.01
"21W19","German speaking community",100,0.13,0.13,0.15
"21W19","Wallonia",95,0.12,0.01,0.02
"21W20","Belgium",89,0.12,0.01,0.01
"21W20","Brussels",65,0,0,0.01
"21W20","Flanders",88,0.07,0.01,0
"21W20","German speaking community",89,0.14,0,0.15
"21W20","Wallonia",96,0.22,0.01,0.01
"21W21","Belgium",87,0.1,0.01,0.01
"21W21","Brussels",58,0.01,0,0.01
"21W21","Flanders",87,0.03,0,0
"21W21","German speaking community",89,0,0,0
"21W21","Wallonia",94,0.24,0.04,0.02
"21W22","Belgium",89,0.04,0.01,0.02
"21W22","Brussels",64,0.05,0.05,0.01
"21W22","Flanders",89,0.01,0,0.01
"21W22","German speaking community",89,0,0,0
"21W22","Wallonia",94,0.08,0.03,0.03
"21W23","Belgium",85,0.07,0.01,0
"21W23","Brussels",61,0.03,0.01,0
"21W23","Flanders",85,0,0,0
"21W23","German speaking community",78,0,0,0
"21W23","Wallonia",93,0.19,0.02,0.01
"21W24","Belgium",88,0.02,0,0
"21W24","Brussels",73,0.02,0,0.02
"21W24","Flanders",86,0,0,0
"21W24","German speaking community",78,0,0,0
"21W24","Wallonia",94,0.05,0,0
"21W25","Belgium",85,0.01,0,0
"21W25","Brussels",66,0,0,0
"21W25","Flanders",83,0,0,0
"21W25","German speaking community",78,0,0,0
"21W25","Wallonia",93,0.01,0,0
"21W26","Belgium",83,0.04,0,0
"21W26","Brussels",60,0,0,0
"21W26","Flanders",80,0,0,0
"21W26","German speaking community",56,0,0,0
"21W26","Wallonia",93,0.11,0,0
"21W27","Belgium",82,0.01,0,0
"21W27","Brussels",68,0.01,0,0
"21W27","Flanders",79,0.01,0,0
"21W27","German speaking community",78,0,0,0
"21W27","Wallonia",90,0.01,0,0
"21W28","Belgium",79,0.02,0,0
"21W28","Brussels",67,0,0,0
"21W28","Flanders",79,0,0,0
"21W28","German speaking community",78,0,0,0
"21W28","Wallonia",81,0.06,0,0
"21W29","Belgium",72,0.07,0.01,0
"21W29","Brussels",62,0.05,0.01,0
"21W29","Flanders",73,0.06,0,0
"21W29","German speaking community",44,0,0,0
"21W29","Wallonia",73,0.1,0.01,0
"21W30","Belgium",75,0.03,0.01,0.01
"21W30","Brussels",69,0.04,0.02,0.01
"21W30","Flanders",77,0.04,0,0.01
"21W30","German speaking community",56,0,0,0
"21W30","Wallonia",74,0.03,0,0
"21W31","Belgium",74,0.12,0.02,0.01
"21W31","Brussels",70,0.09,0.03,0.02
"21W31","Flanders",78,0.06,0,0.01
"21W31","German speaking community",100,0,0,0
"21W31","Wallonia",68,0.24,0.03,0
"21W32","Belgium",74,0.08,0,0
"21W32","Brussels",63,0.1,0,0
"21W32","Flanders",77,0.05,0,0.01
"21W32","German speaking community",100,0.51,0,0
"21W32","Wallonia",74,0.11,0.01,0
"21W33","Belgium",72,0.1,0.01,0.01
"21W33","Brussels",61,0.06,0.01,0
"21W33","Flanders",73,0.06,0,0
"21W33","German speaking community",78,1.61,0,0.29
"21W33","Wallonia",72,0.16,0.02,0.01
"21W34","Belgium",70,0.07,0.01,0.01
"21W34","Brussels",59,0.14,0.03,0
"21W34","Flanders",74,0.06,0,0
"21W34","German speaking community",67,0,0.2,0
"21W34","Wallonia",67,0.08,0.02,0.01
"21W35","Belgium",70,0.11,0.01,0
"21W35","Brussels",61,0.09,0,0
"21W35","Flanders",73,0.02,0.01,0
"21W35","German speaking community",78,0,0.17,0
"21W35","Wallonia",68,0.28,0.02,0
"21W36","Belgium",69,0.13,0.01,0
"21W36","Brussels",65,0.11,0.02,0.02
"21W36","Flanders",73,0.06,0.01,0
"21W36","German speaking community",89,0,0,0
"21W36","Wallonia",63,0.28,0.03,0
"21W37","Belgium",69,0.08,0.01,0.01
"21W37","Brussels",63,0.07,0.01,0.03
"21W37","Flanders",73,0.06,0.01,0
"21W37","German speaking community",78,0.17,0.17,0
"21W37","Wallonia",64,0.13,0.02,0.01
"21W38","Belgium",71,0.14,0.01,0.01
"21W38","Brussels",66,0.45,0.02,0
"21W38","Flanders",76,0.06,0.01,0
"21W38","German speaking community",78,0,0,0
"21W38","Wallonia",66,0.22,0.02,0.01
"21W39","Belgium",66,0.16,0.01,0.01
"21W39","Brussels",59,0.22,0.03,0.02
"21W39","Flanders",73,0.09,0.01,0.01
"21W39","German speaking community",78,0,0,0
"21W39","Wallonia",60,0.28,0.02,0
"21W40","Belgium",68,0.18,0.01,0.01
"21W40","Brussels",70,0.29,0.03,0.06
"21W40","Flanders",72,0.15,0,0.01
"21W40","German speaking community",78,0.16,0,0
"21W40","Wallonia",61,0.23,0,0.01
"21W41","Belgium",68,0.22,0.02,0.02
"21W41","Brussels",76,0.28,0.02,0.02
"21W41","Flanders",72,0.14,0.01,0.02
"21W41","German speaking community",56,0.74,0,0
"21W41","Wallonia",60,0.35,0.03,0.02
"21W42","Belgium",70,0.56,0.04,0.03
"21W42","Brussels",76,0.78,0.05,0.01
"21W42","Flanders",75,0.38,0.02,0.03
"21W42","German speaking community",67,0,0,0.15
"21W42","Wallonia",60,0.88,0.09,0.04
"21W43","Belgium",73,0.51,0.05,0.04
"21W43","Brussels",78,0.23,0.09,0.05
"21W43","Flanders",79,0.36,0.02,0.03
"21W43","German speaking community",78,0.8,0.32,0
"21W43","Wallonia",63,0.92,0.09,0.06
"21W44","Belgium",67,0.34,0.04,0.04
"21W44","Brussels",76,0.18,0.08,0.07
"21W44","Flanders",72,0.19,0.02,0.03
"21W44","German speaking community",67,0.59,0,0
"21W44","Wallonia",58,0.71,0.06,0.04
"21W45","Belgium",70,0.28,0.03,0.03
"21W45","Brussels",73,0.23,0.02,0.05
"21W45","Flanders",77,0.08,0.01,0.02
"21W45","German speaking community",56,2.3,0,0.15
"21W45","Wallonia",60,0.7,0.07,0.04
"21W46","Belgium",74,0.33,0.03,0.03
"21W46","Brussels",73,0.29,0.04,0.03
"21W46","Flanders",82,0.17,0.01,0.02
"21W46","German speaking community",67,0.18,0,0.15
"21W46","Wallonia",61,0.72,0.06,0.04
"21W47","Belgium",68,0.31,0.04,0.03
"21W47","Brussels",70,0.19,0.05,0.02
"21W47","Flanders",78,0.28,0.02,0.03
"21W47","German speaking community",67,0,0,0.29
"21W47","Wallonia",53,0.4,0.07,0.03
"21W48","Belgium",71,0.29,0.03,0.03
"21W48","Brussels",70,0.4,0.03,0.05
"21W48","Flanders",82,0.29,0.03,0.04
"21W48","German speaking community",44,1.79,0,0
"21W48","Wallonia",57,0.23,0.04,0.02
"21W49","Belgium",70,0.3,0.01,0.03
"21W49","Brussels",70,0.16,0.02,0.03
"21W49","Flanders",81,0.25,0.01,0.04
"21W49","German speaking community",56,0,0,0
"21W49","Wallonia",55,0.46,0.02,0.03
"21W50","Belgium",66,0.18,0.01,0.02
"21W50","Brussels",64,0.08,0.04,0.06
"21W50","Flanders",76,0.19,0.01,0.01
"21W50","German speaking community",33,0,0,0
"21W50","Wallonia",54,0.19,0.01,0.01
