"DATE","REGION","AGEGROUP","SEX","BRAND","DOSE","COUNT"
2020-12-30,"Flanders","85+","M","Pfizer-BioNTech","A",63
2020-12-30,"Wallonia","35-44","F","Pfizer-BioNTech","A",1
2020-12-31,"Flanders","18-34","F","Pfizer-BioNTech","A",2
2020-12-31,"Flanders","35-44","M","Pfizer-BioNTech","A",1
2020-12-31,"Flanders","45-54","F","Pfizer-BioNTech","A",2
2020-12-31,"Flanders","55-64","F","Pfizer-BioNTech","A",2
2020-12-31,"Flanders","85+","F","Pfizer-BioNTech","A",1
2020-12-31,"Flanders","85+","M","Pfizer-BioNTech","A",1
2020-12-31,NA,"75-84","M","Pfizer-BioNTech","A",1
2021-01-01,"Flanders","65-74","M","Pfizer-BioNTech","A",1
2021-01-01,"Wallonia","55-64","M","Pfizer-BioNTech","A",1
2021-01-02,"Flanders","18-34","F","Johnson&Johnson","C",1
2021-01-02,"Flanders","18-34","M","Johnson&Johnson","C",2
2021-01-02,"Flanders","35-44","M","Johnson&Johnson","C",1
2021-01-02,"Flanders","45-54","F","Johnson&Johnson","C",2
2021-01-02,"Flanders","45-54","M","Johnson&Johnson","C",1
2021-01-02,"Flanders","55-64","F","Johnson&Johnson","C",3
2021-01-02,"Flanders","55-64","M","Johnson&Johnson","C",2
2021-01-02,"Flanders","65-74","M","Johnson&Johnson","C",1
2021-01-04,"Flanders","18-34","M","Johnson&Johnson","C",2
2021-01-04,"Flanders","18-34","M","Pfizer-BioNTech","A",1
2021-01-04,"Flanders","45-54","F","Moderna","A",1
2021-01-04,"Flanders","45-54","M","Moderna","A",1
2021-01-04,"Wallonia","85+","F","Pfizer-BioNTech","A",1
2021-01-05,"Brussels","18-34","F","Pfizer-BioNTech","A",11
2021-01-05,"Brussels","18-34","M","Pfizer-BioNTech","A",4
2021-01-05,"Brussels","35-44","F","Pfizer-BioNTech","A",7
2021-01-05,"Brussels","35-44","M","Pfizer-BioNTech","A",8
2021-01-05,"Brussels","45-54","F","Pfizer-BioNTech","A",12
2021-01-05,"Brussels","45-54","M","Pfizer-BioNTech","A",12
2021-01-05,"Brussels","55-64","F","Pfizer-BioNTech","A",23
2021-01-05,"Brussels","55-64","M","Pfizer-BioNTech","A",47
2021-01-05,"Brussels","65-74","F","Pfizer-BioNTech","A",69
2021-01-05,"Brussels","65-74","M","Pfizer-BioNTech","A",76
2021-01-05,"Brussels","75-84","F","Pfizer-BioNTech","A",101
2021-01-05,"Brussels","75-84","M","Pfizer-BioNTech","A",74
2021-01-05,"Brussels","85+","F","Pfizer-BioNTech","A",224
2021-01-05,"Brussels","85+","M","Pfizer-BioNTech","A",57
2021-01-05,"Flanders","18-34","F","Johnson&Johnson","C",2
2021-01-05,"Flanders","18-34","F","Pfizer-BioNTech","A",5
2021-01-05,"Flanders","35-44","F","Johnson&Johnson","C",1
2021-01-05,"Flanders","35-44","F","Pfizer-BioNTech","A",3
2021-01-05,"Flanders","35-44","M","Johnson&Johnson","C",4
2021-01-05,"Flanders","35-44","M","Pfizer-BioNTech","A",1
2021-01-05,"Flanders","45-54","F","Johnson&Johnson","C",1
2021-01-05,"Flanders","45-54","F","Pfizer-BioNTech","A",1
2021-01-05,"Flanders","45-54","M","Johnson&Johnson","C",4
2021-01-05,"Flanders","45-54","M","Pfizer-BioNTech","A",6
2021-01-05,"Flanders","55-64","F","Johnson&Johnson","C",1
2021-01-05,"Flanders","55-64","F","Pfizer-BioNTech","A",7
2021-01-05,"Flanders","55-64","M","Johnson&Johnson","C",3
2021-01-05,"Flanders","55-64","M","Pfizer-BioNTech","A",1
2021-01-05,"Flanders","65-74","F","Johnson&Johnson","C",1
2021-01-05,"Flanders","65-74","M","Pfizer-BioNTech","A",2
2021-01-05,"Flanders","75-84","F","Pfizer-BioNTech","A",5
2021-01-05,"Flanders","75-84","M","Pfizer-BioNTech","A",5
2021-01-05,"Flanders","85+","F","Pfizer-BioNTech","A",6
2021-01-05,"Flanders","85+","M","Pfizer-BioNTech","A",1
2021-01-05,NA,"45-54","M","Pfizer-BioNTech","A",1
2021-01-05,NA,"55-64","M","Pfizer-BioNTech","A",1
2021-01-05,"Ostbelgien","18-34","F","Pfizer-BioNTech","A",3
2021-01-05,"Ostbelgien","35-44","F","Pfizer-BioNTech","A",7
2021-01-05,"Ostbelgien","35-44","M","Pfizer-BioNTech","A",4
2021-01-05,"Ostbelgien","45-54","F","Pfizer-BioNTech","A",3
2021-01-05,"Ostbelgien","45-54","M","Pfizer-BioNTech","A",2
2021-01-05,"Ostbelgien","55-64","F","Pfizer-BioNTech","A",6
2021-01-05,"Ostbelgien","55-64","M","Pfizer-BioNTech","A",3
2021-01-05,"Ostbelgien","65-74","M","Pfizer-BioNTech","A",4
2021-01-05,"Ostbelgien","75-84","F","Pfizer-BioNTech","A",10
2021-01-05,"Ostbelgien","75-84","M","Pfizer-BioNTech","A",3
2021-01-05,"Ostbelgien","85+","F","Pfizer-BioNTech","A",24
2021-01-05,"Ostbelgien","85+","M","Pfizer-BioNTech","A",5
2021-01-05,"Wallonia","18-34","F","Pfizer-BioNTech","A",51
2021-01-05,"Wallonia","18-34","M","Pfizer-BioNTech","A",12
2021-01-05,"Wallonia","35-44","F","Pfizer-BioNTech","A",65
2021-01-05,"Wallonia","35-44","M","Pfizer-BioNTech","A",15
2021-01-05,"Wallonia","45-54","F","Pfizer-BioNTech","A",75
2021-01-05,"Wallonia","45-54","M","Pfizer-BioNTech","A",16
2021-01-05,"Wallonia","55-64","F","Pfizer-BioNTech","A",43
2021-01-05,"Wallonia","55-64","M","Pfizer-BioNTech","A",25
2021-01-05,"Wallonia","65-74","F","Pfizer-BioNTech","A",50
2021-01-05,"Wallonia","65-74","M","Pfizer-BioNTech","A",36
2021-01-05,"Wallonia","75-84","F","Pfizer-BioNTech","A",105
2021-01-05,"Wallonia","75-84","M","Pfizer-BioNTech","A",54
2021-01-05,"Wallonia","85+","F","Pfizer-BioNTech","A",251
2021-01-05,"Wallonia","85+","M","Pfizer-BioNTech","A",64
2021-01-06,"Brussels","18-34","F","Pfizer-BioNTech","A",13
2021-01-06,"Brussels","18-34","M","Pfizer-BioNTech","A",6
2021-01-06,"Brussels","35-44","F","Moderna","A",1
2021-01-06,"Brussels","35-44","F","Pfizer-BioNTech","A",16
2021-01-06,"Brussels","35-44","M","Pfizer-BioNTech","A",5
2021-01-06,"Brussels","45-54","F","Pfizer-BioNTech","A",21
2021-01-06,"Brussels","45-54","M","Pfizer-BioNTech","A",14
2021-01-06,"Brussels","55-64","F","Pfizer-BioNTech","A",40
2021-01-06,"Brussels","55-64","M","Pfizer-BioNTech","A",44
2021-01-06,"Brussels","65-74","F","Pfizer-BioNTech","A",67
2021-01-06,"Brussels","65-74","M","Pfizer-BioNTech","A",54
2021-01-06,"Brussels","75-84","F","Pfizer-BioNTech","A",155
2021-01-06,"Brussels","75-84","M","Pfizer-BioNTech","A",72
2021-01-06,"Brussels","85+","F","Pfizer-BioNTech","A",406
2021-01-06,"Brussels","85+","M","Pfizer-BioNTech","A",75
2021-01-06,"Flanders","18-34","F","Johnson&Johnson","C",1
2021-01-06,"Flanders","18-34","F","Pfizer-BioNTech","A",25
2021-01-06,"Flanders","18-34","M","Johnson&Johnson","C",2
2021-01-06,"Flanders","18-34","M","Pfizer-BioNTech","A",1
2021-01-06,"Flanders","35-44","F","Johnson&Johnson","C",2
2021-01-06,"Flanders","35-44","F","Pfizer-BioNTech","A",27
2021-01-06,"Flanders","35-44","M","Johnson&Johnson","C",1
2021-01-06,"Flanders","35-44","M","Pfizer-BioNTech","A",5
2021-01-06,"Flanders","45-54","F","Johnson&Johnson","C",4
2021-01-06,"Flanders","45-54","F","Pfizer-BioNTech","A",43
2021-01-06,"Flanders","45-54","M","Johnson&Johnson","C",2
2021-01-06,"Flanders","45-54","M","Pfizer-BioNTech","A",11
2021-01-06,"Flanders","55-64","F","Johnson&Johnson","C",3
2021-01-06,"Flanders","55-64","F","Moderna","A",1
2021-01-06,"Flanders","55-64","F","Pfizer-BioNTech","A",37
2021-01-06,"Flanders","55-64","M","Johnson&Johnson","C",2
2021-01-06,"Flanders","55-64","M","Pfizer-BioNTech","A",18
2021-01-06,"Flanders","65-74","F","Johnson&Johnson","C",2
2021-01-06,"Flanders","65-74","F","Pfizer-BioNTech","A",23
2021-01-06,"Flanders","65-74","M","Johnson&Johnson","C",3
2021-01-06,"Flanders","65-74","M","Pfizer-BioNTech","A",32
2021-01-06,"Flanders","75-84","F","Pfizer-BioNTech","A",140
2021-01-06,"Flanders","75-84","M","Pfizer-BioNTech","A",71
2021-01-06,"Flanders","85+","F","Pfizer-BioNTech","A",375
2021-01-06,"Flanders","85+","M","Pfizer-BioNTech","A",121
2021-01-06,NA,"18-34","F","Pfizer-BioNTech","A",4
2021-01-06,NA,"35-44","F","Pfizer-BioNTech","A",2
2021-01-06,NA,"45-54","F","Pfizer-BioNTech","A",5
2021-01-06,NA,"45-54","M","Pfizer-BioNTech","A",1
2021-01-06,NA,"55-64","F","Pfizer-BioNTech","A",2
2021-01-06,NA,"55-64","M","Moderna","A",1
2021-01-06,NA,"55-64","M","Pfizer-BioNTech","A",1
2021-01-06,NA,"75-84","F","Pfizer-BioNTech","A",2
2021-01-06,NA,"85+","F","Pfizer-BioNTech","A",1
2021-01-06,"Ostbelgien","18-34","F","Pfizer-BioNTech","A",1
2021-01-06,"Ostbelgien","35-44","F","Pfizer-BioNTech","A",1
2021-01-06,"Ostbelgien","55-64","F","Pfizer-BioNTech","A",2
2021-01-06,"Ostbelgien","65-74","F","Pfizer-BioNTech","A",5
2021-01-06,"Ostbelgien","65-74","M","Pfizer-BioNTech","A",2
2021-01-06,"Ostbelgien","75-84","F","Pfizer-BioNTech","A",13
2021-01-06,"Ostbelgien","75-84","M","Pfizer-BioNTech","A",5
2021-01-06,"Ostbelgien","85+","F","Pfizer-BioNTech","A",4
2021-01-06,"Ostbelgien","85+","M","Pfizer-BioNTech","A",1
2021-01-06,"Wallonia","0-17","M","Pfizer-BioNTech","A",2
2021-01-06,"Wallonia","18-34","F","Pfizer-BioNTech","A",117
2021-01-06,"Wallonia","18-34","M","Pfizer-BioNTech","A",29
2021-01-06,"Wallonia","35-44","F","Pfizer-BioNTech","A",139
2021-01-06,"Wallonia","35-44","M","Pfizer-BioNTech","A",25
2021-01-06,"Wallonia","45-54","F","Pfizer-BioNTech","A",159
2021-01-06,"Wallonia","45-54","M","Pfizer-BioNTech","A",39
2021-01-06,"Wallonia","55-64","F","Pfizer-BioNTech","A",127
2021-01-06,"Wallonia","55-64","M","Pfizer-BioNTech","A",58
2021-01-06,"Wallonia","65-74","F","Pfizer-BioNTech","A",100
2021-01-06,"Wallonia","65-74","M","Johnson&Johnson","C",1
2021-01-06,"Wallonia","65-74","M","Pfizer-BioNTech","A",86
2021-01-06,"Wallonia","75-84","F","Pfizer-BioNTech","A",278
2021-01-06,"Wallonia","75-84","M","Pfizer-BioNTech","A",105
2021-01-06,"Wallonia","85+","F","Pfizer-BioNTech","A",523
2021-01-06,"Wallonia","85+","M","Pfizer-BioNTech","A",138
2021-01-07,"Brussels","18-34","F","Pfizer-BioNTech","A",18
2021-01-07,"Brussels","18-34","M","Pfizer-BioNTech","A",4
2021-01-07,"Brussels","35-44","F","Pfizer-BioNTech","A",13
2021-01-07,"Brussels","35-44","M","Pfizer-BioNTech","A",7
2021-01-07,"Brussels","45-54","F","Johnson&Johnson","C",1
2021-01-07,"Brussels","45-54","F","Pfizer-BioNTech","A",21
2021-01-07,"Brussels","45-54","M","Pfizer-BioNTech","A",16
2021-01-07,"Brussels","55-64","F","Pfizer-BioNTech","A",46
2021-01-07,"Brussels","55-64","M","Pfizer-BioNTech","A",46
2021-01-07,"Brussels","65-74","F","Pfizer-BioNTech","A",88
2021-01-07,"Brussels","65-74","M","Pfizer-BioNTech","A",65
2021-01-07,"Brussels","75-84","F","Pfizer-BioNTech","A",153
2021-01-07,"Brussels","75-84","M","Pfizer-BioNTech","A",77
2021-01-07,"Brussels","85+","F","Pfizer-BioNTech","A",362
2021-01-07,"Brussels","85+","M","Pfizer-BioNTech","A",77
2021-01-07,"Flanders","18-34","F","Pfizer-BioNTech","A",65
2021-01-07,"Flanders","18-34","M","Pfizer-BioNTech","A",16
2021-01-07,"Flanders","35-44","F","Johnson&Johnson","C",1
2021-01-07,"Flanders","35-44","F","Moderna","A",1
2021-01-07,"Flanders","35-44","F","Pfizer-BioNTech","A",96
2021-01-07,"Flanders","35-44","M","Johnson&Johnson","C",2
2021-01-07,"Flanders","35-44","M","Pfizer-BioNTech","A",19
2021-01-07,"Flanders","45-54","F","Pfizer-BioNTech","A",96
2021-01-07,"Flanders","45-54","M","Johnson&Johnson","C",1
2021-01-07,"Flanders","45-54","M","Pfizer-BioNTech","A",30
2021-01-07,"Flanders","55-64","F","Pfizer-BioNTech","A",117
2021-01-07,"Flanders","55-64","M","Johnson&Johnson","C",1
2021-01-07,"Flanders","55-64","M","Pfizer-BioNTech","A",59
2021-01-07,"Flanders","65-74","F","Pfizer-BioNTech","A",89
2021-01-07,"Flanders","65-74","M","Pfizer-BioNTech","A",59
2021-01-07,"Flanders","75-84","F","Pfizer-BioNTech","A",347
2021-01-07,"Flanders","75-84","M","Pfizer-BioNTech","A",159
2021-01-07,"Flanders","85+","F","Pfizer-BioNTech","A",751
2021-01-07,"Flanders","85+","M","Pfizer-BioNTech","A",259
2021-01-07,NA,"18-34","F","Pfizer-BioNTech","A",8
2021-01-07,NA,"18-34","M","Pfizer-BioNTech","A",2
2021-01-07,NA,"35-44","F","Pfizer-BioNTech","A",18
2021-01-07,NA,"35-44","M","Pfizer-BioNTech","A",8
2021-01-07,NA,"45-54","F","Pfizer-BioNTech","A",18
2021-01-07,NA,"45-54","M","Pfizer-BioNTech","A",2
2021-01-07,NA,"55-64","F","Pfizer-BioNTech","A",6
2021-01-07,NA,"65-74","M","Pfizer-BioNTech","A",3
2021-01-07,NA,"75-84","F","Pfizer-BioNTech","A",2
2021-01-07,NA,"75-84","M","Pfizer-BioNTech","A",2
2021-01-07,NA,"85+","F","Pfizer-BioNTech","A",2
2021-01-07,NA,"85+","M","Pfizer-BioNTech","A",2
2021-01-07,"Ostbelgien","18-34","M","Pfizer-BioNTech","A",1
2021-01-07,"Ostbelgien","35-44","F","Pfizer-BioNTech","A",1
2021-01-07,"Ostbelgien","45-54","F","Pfizer-BioNTech","A",1
2021-01-07,"Ostbelgien","45-54","M","Pfizer-BioNTech","A",1
2021-01-07,"Ostbelgien","55-64","F","Pfizer-BioNTech","A",4
2021-01-07,"Ostbelgien","55-64","M","Pfizer-BioNTech","A",1
2021-01-07,"Ostbelgien","65-74","F","Pfizer-BioNTech","A",4
2021-01-07,"Ostbelgien","75-84","F","Pfizer-BioNTech","A",13
2021-01-07,"Ostbelgien","75-84","M","Pfizer-BioNTech","A",1
2021-01-07,"Ostbelgien","85+","F","Pfizer-BioNTech","A",14
2021-01-07,"Ostbelgien","85+","M","Pfizer-BioNTech","A",7
2021-01-07,"Wallonia","0-17","F","Pfizer-BioNTech","A",3
2021-01-07,"Wallonia","18-34","F","Johnson&Johnson","C",1
2021-01-07,"Wallonia","18-34","F","Pfizer-BioNTech","A",265
2021-01-07,"Wallonia","18-34","M","Johnson&Johnson","C",1
2021-01-07,"Wallonia","18-34","M","Pfizer-BioNTech","A",105
2021-01-07,"Wallonia","35-44","F","Johnson&Johnson","C",1
2021-01-07,"Wallonia","35-44","F","Pfizer-BioNTech","A",309
2021-01-07,"Wallonia","35-44","M","Johnson&Johnson","C",2
2021-01-07,"Wallonia","35-44","M","Pfizer-BioNTech","A",65
2021-01-07,"Wallonia","45-54","F","Pfizer-BioNTech","A",341
2021-01-07,"Wallonia","45-54","M","Pfizer-BioNTech","A",104
2021-01-07,"Wallonia","55-64","F","Pfizer-BioNTech","A",337
2021-01-07,"Wallonia","55-64","M","Johnson&Johnson","C",1
2021-01-07,"Wallonia","55-64","M","Pfizer-BioNTech","A",163
2021-01-07,"Wallonia","65-74","F","Johnson&Johnson","C",1
2021-01-07,"Wallonia","65-74","F","Pfizer-BioNTech","A",279
2021-01-07,"Wallonia","65-74","M","Pfizer-BioNTech","A",224
2021-01-07,"Wallonia","75-84","F","Pfizer-BioNTech","A",672
2021-01-07,"Wallonia","75-84","M","Pfizer-BioNTech","A",273
2021-01-07,"Wallonia","85+","F","Pfizer-BioNTech","A",1548
2021-01-07,"Wallonia","85+","M","Pfizer-BioNTech","A",343
2021-01-08,"Brussels","18-34","F","Pfizer-BioNTech","A",29
2021-01-08,"Brussels","18-34","M","Pfizer-BioNTech","A",13
2021-01-08,"Brussels","35-44","F","Pfizer-BioNTech","A",26
2021-01-08,"Brussels","35-44","M","Pfizer-BioNTech","A",3
2021-01-08,"Brussels","45-54","F","Pfizer-BioNTech","A",31
2021-01-08,"Brussels","45-54","M","Pfizer-BioNTech","A",18
2021-01-08,"Brussels","55-64","F","Pfizer-BioNTech","A",75
2021-01-08,"Brussels","55-64","M","Pfizer-BioNTech","A",51
2021-01-08,"Brussels","65-74","F","Pfizer-BioNTech","A",80
2021-01-08,"Brussels","65-74","M","Pfizer-BioNTech","A",70
2021-01-08,"Brussels","75-84","F","Pfizer-BioNTech","A",199
2021-01-08,"Brussels","75-84","M","Pfizer-BioNTech","A",94
2021-01-08,"Brussels","85+","F","Pfizer-BioNTech","A",460
2021-01-08,"Brussels","85+","M","Pfizer-BioNTech","A",88
2021-01-08,"Flanders","0-17","F","Pfizer-BioNTech","A",1
2021-01-08,"Flanders","18-34","F","Moderna","A",1
2021-01-08,"Flanders","18-34","F","Pfizer-BioNTech","A",112
2021-01-08,"Flanders","18-34","M","Johnson&Johnson","C",4
2021-01-08,"Flanders","18-34","M","Pfizer-BioNTech","A",33
2021-01-08,"Flanders","35-44","F","Johnson&Johnson","C",2
2021-01-08,"Flanders","35-44","F","Pfizer-BioNTech","A",149
2021-01-08,"Flanders","35-44","M","Johnson&Johnson","C",3
2021-01-08,"Flanders","35-44","M","Pfizer-BioNTech","A",18
2021-01-08,"Flanders","45-54","F","Johnson&Johnson","C",5
2021-01-08,"Flanders","45-54","F","Pfizer-BioNTech","A",222
2021-01-08,"Flanders","45-54","M","Johnson&Johnson","C",2
2021-01-08,"Flanders","45-54","M","Pfizer-BioNTech","A",47
2021-01-08,"Flanders","55-64","F","Johnson&Johnson","C",2
2021-01-08,"Flanders","55-64","F","Pfizer-BioNTech","A",178
2021-01-08,"Flanders","55-64","M","Johnson&Johnson","C",2
2021-01-08,"Flanders","55-64","M","Pfizer-BioNTech","A",60
2021-01-08,"Flanders","65-74","F","Johnson&Johnson","C",2
2021-01-08,"Flanders","65-74","F","Pfizer-BioNTech","A",105
2021-01-08,"Flanders","65-74","M","Pfizer-BioNTech","A",78
2021-01-08,"Flanders","75-84","F","Pfizer-BioNTech","A",426
2021-01-08,"Flanders","75-84","M","Johnson&Johnson","C",2
2021-01-08,"Flanders","75-84","M","Pfizer-BioNTech","A",173
2021-01-08,"Flanders","85+","F","Pfizer-BioNTech","A",1074
2021-01-08,"Flanders","85+","M","Pfizer-BioNTech","A",330
2021-01-08,NA,"18-34","F","Pfizer-BioNTech","A",2
2021-01-08,NA,"35-44","F","Pfizer-BioNTech","A",4
2021-01-08,NA,"35-44","M","Pfizer-BioNTech","A",2
2021-01-08,NA,"45-54","F","Pfizer-BioNTech","A",1
2021-01-08,NA,"55-64","F","Pfizer-BioNTech","A",1
2021-01-08,NA,"55-64","M","Pfizer-BioNTech","A",1
2021-01-08,NA,"65-74","F","Pfizer-BioNTech","A",2
2021-01-08,NA,"65-74","M","Pfizer-BioNTech","A",1
2021-01-08,NA,"85+","F","Pfizer-BioNTech","A",2
2021-01-08,NA,"85+","M","Pfizer-BioNTech","A",1
2021-01-08,"Ostbelgien","18-34","F","Pfizer-BioNTech","A",3
2021-01-08,"Ostbelgien","18-34","M","Pfizer-BioNTech","A",1
2021-01-08,"Ostbelgien","35-44","F","Pfizer-BioNTech","A",2
2021-01-08,"Ostbelgien","35-44","M","Pfizer-BioNTech","A",1
2021-01-08,"Ostbelgien","45-54","F","Pfizer-BioNTech","A",7
2021-01-08,"Ostbelgien","45-54","M","Pfizer-BioNTech","A",2
2021-01-08,"Ostbelgien","55-64","F","Pfizer-BioNTech","A",10
2021-01-08,"Ostbelgien","55-64","M","Pfizer-BioNTech","A",1
2021-01-08,"Ostbelgien","65-74","F","Pfizer-BioNTech","A",1
2021-01-08,"Ostbelgien","65-74","M","Pfizer-BioNTech","A",2
2021-01-08,"Ostbelgien","75-84","F","Pfizer-BioNTech","A",4
2021-01-08,"Ostbelgien","75-84","M","Pfizer-BioNTech","A",2
2021-01-08,"Ostbelgien","85+","F","Pfizer-BioNTech","A",13
2021-01-08,"Ostbelgien","85+","M","Pfizer-BioNTech","A",3
2021-01-08,"Wallonia","0-17","F","Pfizer-BioNTech","A",1
2021-01-08,"Wallonia","0-17","M","Pfizer-BioNTech","A",1
2021-01-08,"Wallonia","18-34","F","Johnson&Johnson","C",1
2021-01-08,"Wallonia","18-34","F","Pfizer-BioNTech","A",315
2021-01-08,"Wallonia","18-34","M","Johnson&Johnson","C",1
2021-01-08,"Wallonia","18-34","M","Pfizer-BioNTech","A",115
2021-01-08,"Wallonia","35-44","F","Johnson&Johnson","C",1
2021-01-08,"Wallonia","35-44","F","Pfizer-BioNTech","A",346
2021-01-08,"Wallonia","35-44","M","Johnson&Johnson","C",1
2021-01-08,"Wallonia","35-44","M","Pfizer-BioNTech","A",106
2021-01-08,"Wallonia","45-54","F","Johnson&Johnson","C",1
2021-01-08,"Wallonia","45-54","F","Pfizer-BioNTech","A",380
2021-01-08,"Wallonia","45-54","F","Pfizer-BioNTech","B",1
2021-01-08,"Wallonia","45-54","M","Johnson&Johnson","C",3
2021-01-08,"Wallonia","45-54","M","Pfizer-BioNTech","A",116
2021-01-08,"Wallonia","55-64","F","Pfizer-BioNTech","A",366
2021-01-08,"Wallonia","55-64","M","Johnson&Johnson","C",2
2021-01-08,"Wallonia","55-64","M","Pfizer-BioNTech","A",163
2021-01-08,"Wallonia","65-74","F","Pfizer-BioNTech","A",252
2021-01-08,"Wallonia","65-74","M","Pfizer-BioNTech","A",244
2021-01-08,"Wallonia","75-84","F","Pfizer-BioNTech","A",591
2021-01-08,"Wallonia","75-84","M","Pfizer-BioNTech","A",277
2021-01-08,"Wallonia","85+","F","Pfizer-BioNTech","A",1350
2021-01-08,"Wallonia","85+","M","Pfizer-BioNTech","A",330
2021-01-09,"Brussels","45-54","F","Johnson&Johnson","C",1
2021-01-09,"Brussels","55-64","F","Pfizer-BioNTech","A",1
2021-01-09,"Brussels","55-64","M","Johnson&Johnson","C",1
2021-01-09,"Brussels","55-64","M","Pfizer-BioNTech","A",2
2021-01-09,"Flanders","0-17","F","Pfizer-BioNTech","A",1
